,year,q,relative_price,area_and_rooms
0,2017.0,Q1,"1,532.1",סך הכל
1,2017.0,Q2,"1,523.2",סך הכל
2,2017.0,Q3,"1,537.3",סך הכל
3,2017.0,Q4,"1,533.1",סך הכל
4,2018.0,Q1,"1,535.2",סך הכל
5,2018.0,Q2,"1,548.1",סך הכל
6,2018.0,Q3,"1,539.0",סך הכל
7,2018.0,Q4,"1,519.6",סך הכל
8,2019.0,Q1,"1,529.9",סך הכל
9,2019.0,Q2,"1,577.2",סך הכל
10,2019.0,Q3,"1,529.0",סך הכל
11,2019.0,Q4,"1,544.2",סך הכל
12,2020.0,Q1,"1,621.4",סך הכל
13,2020.0,Q2,"1,542.5",סך הכל
14,2020.0,Q3,"1,571.7",סך הכל
15,2020.0,Q4,"1,629.2",סך הכל
16,2021.0,Q1,"1,704.9",סך הכל
17,2021.0,Q2,"1,685.2",סך הכל
18,2021.0,Q3,"1,716.4",סך הכל
19,2021.0,Q4,"1,756.4",סך הכל
20,2017.0,Q1,954.5,1-2 (סך הכל)
21,2017.0,Q2,"1,007.0",1-2 (סך הכל)
22,2017.0,Q3,"1,066.2",1-2 (סך הכל)
23,2017.0,Q4,"1,059.0",1-2 (סך הכל)
24,2018.0,Q1,995.8,1-2 (סך הכל)
25,2018.0,Q2,"1,056.6",1-2 (סך הכל)
26,2018.0,Q3,980.1,1-2 (סך הכל)
27,2018.0,Q4,965.9,1-2 (סך הכל)
28,2019.0,Q1,"1,005.9",1-2 (סך הכל)
29,2019.0,Q2,"1,024.1",1-2 (סך הכל)
30,2019.0,Q3,"1,021.7",1-2 (סך הכל)
31,2019.0,Q4,"1,050.8",1-2 (סך הכל)
32,2020.0,Q1,"1,130.8",1-2 (סך הכל)
33,2020.0,Q2,991.7,1-2 (סך הכל)
34,2020.0,Q3,"1,052.3",1-2 (סך הכל)
35,2020.0,Q4,"1,100.9",1-2 (סך הכל)
36,2021.0,Q1,"1,145.7",1-2 (סך הכל)
37,2021.0,Q2,"1,126.1",1-2 (סך הכל)
38,2021.0,Q3,"1,130.2",1-2 (סך הכל)
39,2021.0,Q4,"1,122.2",1-2 (סך הכל)
40,2017.0,Q1,"1,161.5",3-2.5 (סך הכל)
41,2017.0,Q2,"1,147.3",3-2.5 (סך הכל)
